ctoi_alias,pl_pnum,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
142276270.01,1,1,192.184898,64.855276,0.937,-10.171,2459612.447691,12.5187279,5.38,2320.0,5.58857,626.362,1393.0,8.9361,84.5362,5729.0,4.47,0.98
142276270.02,2,1,192.184898,64.855276,0.937,-10.171,2460366.026514,6.2586065,3.201,813.0,2.51593,232.392,1087.0,8.9361,84.5362,5729.0,4.47,0.98
25155310.01,1,1,63.374706,-69.226593,63.134,53.433,2458327.519958,3.2887898,3.4367717,7005.7247902,10.5135877,759.3373533,1338.8392647,10.6103,216.526,5800.0,4.28004,1.24175
284450803.01,1,0,290.708965,56.615386,6.716,-14.218,2460335.937572,3.3686634,3.012,3288.0,42.2321,9856.24,2775.0,8.64028,299.294,7518.0,3.82,2.68
160268701.01,1,0,182.538652,77.352264,-36.299,4.191,2460352.734057,11.2071839,4.366,3276.0,17.4989,813.063,1487.0,8.63287,191.984,6152.0,3.84,2.24
28230919.01,1,1,297.710176,48.081864,125.984,232.988,2460554.347022,4.8878037,2.184,4279.0,5.29152,71.6805,810.0,8.5077,37.7647,4757.3,4.56,0.76
349827430.01,1,1,161.909027,71.655727,-56.184,-34.808,2460361.366521,5.5514888,4.335,9493.0,15.8043,802.858,1482.0,7.9179,96.5173,6403.9,4.16,1.55
281541555.01,1,1,6.70264,-56.316102,21.46,7.316,2458329.903155,4.7423709,2.4988145,12650.8110411,10.5505922,209.7699043,970.6340996,13.0417,453.808,5377.0,4.42476,0.877585
16740101.01,1,1,307.8599,39.938916,16.728,21.478,2458683.457596,1.4810903,4.1588291,6788.5145388,20.3402421,33326.7304874,3446.0210572,7.58204,204.455,9435.0,4.11,2.28773
69679391.01,1,1,294.661413,31.2192,3.096,-6.157,2460337.986375,3.4741012,3.317,15748.0,21.2912,3453.07,2084.3330866,7.55216,136.426,8894.8,4.38,1.62
147576037.01,1,0,144.341393,68.458705,-13.626,10.98,2459603.765773,13.0727479,3.044,4080.0,35.7944,221.343,1074.0,9.6043,432.113,5709.8,3.37,3.59
238176110.01,1,1,357.846434,-70.152862,96.185,-1.747,2458326.688916,2.7985802,2.3801043,16708.7151957,11.9514993,332.556249,1089.1458169,11.0443,149.942,4920.0,4.49371,0.906655
458478250.01,1,1,232.146641,66.35871,0.434,-12.217,2460352.823449,2.2552845,2.05,20820.0,14.688,549.715,1348.0,9.76703,126.261,5787.0,4.5,0.96
138361973.01,1,0,293.764981,37.53859,-2.77,-79.214,2460556.103196,1.8824539,2.46,1391.0,8.29008,15173.2,3091.0,9.7604,153.743,5900.4,4.39,1.13
41330864.01,1,0,301.710466,38.431023,8.657,-3.67,2460363.632024,2.1358631,1.559,10325.0,23.6019,1540.95,1745.0,10.381,274.162,5969.0,4.17,1.5
322307342.01,1,1,15.006077,-58.904724,22.522,7.594,2459063.655791,3.5862962,3.3710943,5729.3246858,16.4747611,1787.5955937,1658.3915202,11.7806,603.955,5704.8,3.84,2.00441
294176967.01,1,0,300.805115,52.040842,-5.735,-5.495,2460556.995021,1.8296155,2.166,1406.0,29.3616,32867.0,3751.0,10.349,880.107,7875.0,3.61,3.5
101929303.01,1,0,299.273862,35.988359,3.425,0.583,2460541.381489,11.1876137,3.183,4924.0,31.8624,838.609,1499.0,10.3075,482.763,7266.0,4.06,2.05
232967440.01,1,1,197.683097,70.768012,57.651,-92.555,2460341.784305,7.0643978,2.424,8268.0,9.39131,104.311,890.0,10.2938,132.353,5429.6,4.44,0.96
154089169.01,1,1,209.217175,68.618211,-81.077,45.498,2460355.403307,8.9534775,2.696,1136.0,2.35888,45.5604,723.0,10.2549,94.6375,5029.5,4.61,0.76
30329585.01,1,0,289.238688,31.323574,-9.775,-45.409,2459437.549479,7.5022708,2.605,1760.0,5.55812,129.866,940.0,10.2026,216.517,6229.0,4.31,1.27
359496368.01,1,0,279.101036,55.391781,184.868,-42.647,2460646.783967,2.6652007,3.49,819.0,2.35964,2905.35,2045.0,10.1358,36.7224,4043.4,4.69,0.56
266980320.01,1,1,349.559266,-56.903986,313.918,-20.177,2460175.749118,6.0344667,1.89,1800.0,4.44029,64.2648,788.0,9.179,94.1719,5586.0,4.36763,1.05
158002130.01,1,1,214.555774,82.193764,84.408,-64.898,2460473.411486,9.6867516,2.512,1669.0,3.00336,41.6645,707.0,10.112,72.0238,4738.1,4.59,0.73
229510866.01,1,1,297.215817,64.354351,-5.676,0.188,2460556.242383,2.1031647,5.059,7142.0,16.7087,14140.0,3037.0,10.079,302.819,6122.0,3.93,1.93
233087860.01,1,1,272.20452,60.678785,64.887,138.082,2460558.350441,5.7484439,1.76,1041.0,2.35215,75.272,820.0,9.9469,58.5946,4534.0,4.61,0.69
83210867.01,1,0,297.459433,34.829667,19.777,11.228,2460532.182655,1.1967018,1.879,824.0,10.3239,25917.9,3534.0,9.94025,246.798,5997.0,4.0,1.73
289539327.01,1,0,251.633465,65.715035,-23.07,31.142,2460649.2545,11.2464616,7.391,7576.0,17.6677,365.938,1218.0,9.92402,294.85,6115.7,3.89,2.01
237185205.01,1,0,283.526697,37.720014,1.209,-2.212,2459441.423236,15.7335693,3.288,2540.0,24.3218,367.588,1219.0,9.7831,355.809,6800.0,3.91,2.21
147950620.01,1,1,167.821481,69.964775,79.486,15.428,2460367.07216,2.3106428,1.294,6911.0,8.76741,203.685,1052.0,10.4782,149.667,5339.9,4.41,0.99
203189770.01,1,1,304.800032,32.581045,2.239,-0.113,2460551.040398,3.612771,4.142,11794.0,19.3662,5011.92,2344.0,10.4219,470.878,8324.0,4.28,1.71
99869022.01,1,1,166.880658,61.352572,-4.019,-33.35,2460360.434669,3.6714717,2.149,4340.0,10.678,324.114,1182.0,10.4221,248.427,5618.0,4.06,1.54
288185138.01,1,0,222.841424,82.952258,-32.468,28.147,2460365.995576,0.8352406,1.043,2065.0,6.4875,5021.63,2345.0,10.402,224.444,6105.0,4.31,1.24
29960110.01,1,1,42.2477,-14.537283,164.059,46.626,2458411.670877,2.4919771,1.4338141,2093.9594201,2.2187585,39.6452664,639.9817426,10.9473,37.8871,3948.0,4.68962,0.482388
23434737.01,1,1,168.226736,-34.406937,292.931,-44.783,2458553.062116,25.5195307,6.6877451,558.3758637,2.9641461,45.6335702,662.8890748,7.9995,64.9943,5742.22,4.29,1.17321
308034948.01,1,0,180.325704,-60.200439,-6.538,-1.401,2458569.713498,0.831542,1.985538,248.969585,1.881684,3776.6095365,1999.3796659,8.6014,1698.55,5824.0,4.438,1.1512
33878688.01,1,0,66.221959,-73.333516,-21.388,-39.668,2459187.361317,79.3739596,5.392,1227.0,2.17454,3.05331,368.0,11.1762,144.133,5168.33,4.60584,0.77
399144800.01,1,0,163.198824,-67.387472,-100.262,79.575,2458576.189436,27.2149622,3.7190483,4731.4046225,8.3475973,25.4860381,573.0537137,10.6392,161.33,6270.0,4.54537,0.989667
231702397.01,1,1,332.948236,-58.946085,138.138,-235.81,2458329.118988,5.0780325,1.2100353,5923.1283069,2.6347763,8.1743139,431.253644,13.084,62.118,3318.0,4.9581,0.334125
382437043.01,1,0,117.214876,-63.720125,-19.934,27.4,2458337.747012,14.64319,2.5483426,242.7923919,3.41248,391.2017546,1134.2791474,9.3109,237.7,6516.0,3.99366,2.04178
299798795.01,1,1,37.197836,-80.899105,159.883,27.053,2458327.705053,4.1782656,1.675904,2537.6781602,2.1023854,13.9295288,492.7241583,11.556,37.3312,3442.0,4.893,0.404403
299798795.02,2,1,37.197836,-80.899105,159.883,27.053,2458329.862603,17.9453645,3.0740072,5480.684864,3.3839124,1.9952383,303.1226876,11.556,37.3312,3442.0,4.893,0.404403
360156606.01,1,1,186.767363,-72.45185,-40.266,-10.642,2458617.479256,27.3613778,4.0586418,20690.6684294,6.4522449,0.8345555,243.7718547,13.802,100.641,3050.0,4.438,0.44128
300038935.01,1,1,107.843685,-68.83334,-0.918,35.033,2460178.461991,29.0497517,7.117,318.0,2.84674,257.066,1115.0,9.0963,272.217,8208.0,4.25979,1.8
290131778.01,1,1,319.699588,-26.616374,23.236,-57.557,2460175.035028,3.3088922,6.114,4736.0,24.9862,17074.7,3184.0,7.87598,161.498,6188.0,4.27166,2.62
287156968.01,1,1,118.129594,-83.825063,20.314,-77.04,2458620.316686,25.0571312,7.5424225,533.486013,3.2396838,53.1389289,688.6094029,9.6245,143.138,5696.0,4.26563,1.15281
260647166.01,1,1,186.574063,-51.363052,-70.434,-49.865,2459308.481159,14.1758947,3.7543827,907.1324529,2.6231641,53.8795095,690.9961983,8.6522,64.5978,5723.87,4.438,0.864173
260647166.02,2,1,186.574063,-51.363052,-70.434,-49.865,2459311.402774,19.5901578,4.002861,1182.6678641,3.0026428,35.0031418,620.3638839,8.6522,64.5978,5723.87,4.438,0.864173
90504905.01,1,0,290.57223,26.319493,-29.235,-14.449,2458685.613152,2.2645386,3.8193701,15019.9420903,5.1936764,34.1873897,616.7174475,13.7991,104.912,3443.0,4.81617,0.411471
103633434.01,1,1,152.218255,69.27662,196.631,17.369,2460333.631473,3.4447015,1.912,796.0,2.00495,231.437,1086.0,9.91924,39.6345,3912.0,4.62642,0.63
120757718.01,1,1,286.040876,36.632536,-32.207,-20.401,2459422.690639,3.0300715,2.5466671,21794.6136956,12.7529892,318.4581858,1077.4145935,11.0248,159.658,5242.82,4.52404,0.857369
120960812.01,1,1,286.638391,39.487904,-0.455,6.169,2459781.665928,12.72038,2.401,1070.0,4.96046,41.1042,705.0,10.2768,243.249,6212.0,4.17664,1.48
120960812.02,2,1,286.638391,39.487904,-0.455,6.169,2458685.409943,6.238755,3.6178567,373.5681138,2.9728283,587.1290759,1255.4607699,10.2768,243.249,6212.0,4.17664,1.47768
153951307.01,1,1,201.382339,68.836068,-4.963,-45.922,2458684.28731,3.2947689,1.7483103,1324.0402774,2.5248559,56.9377632,700.5995436,11.2582,70.7145,3853.0,4.63168,0.62326
153951307.02,2,1,201.382339,68.836068,-4.963,-45.922,2458684.104681,0.7645807,1.07057,394.9832006,1.2407226,399.2723837,1140.0845694,11.2582,70.7145,3853.0,4.63168,0.62326
154716798.01,1,1,158.011286,84.030377,-26.182,2.141,2459604.095801,12.6396982,3.3830702,3292.6812864,4.6025162,39.6563977,640.0266601,10.7192,126.903,5217.0,4.59186,0.789425
158170594.01,1,1,286.110305,43.680961,-1.691,7.017,2459421.32991,1.7208555,1.8346409,10014.2587401,13.4646314,2259.3896676,1758.3994294,13.8046,1086.24,5832.83,4.20893,1.33402
219850915.01,1,1,256.279559,69.519093,-56.411,-66.5,2459913.810947,6.4002807,2.1559875,1026.6018729,2.2730301,56.4368797,699.0536347,11.0157,102.551,4599.0,4.58487,0.720551
230127302.01,1,1,251.11587,70.429992,-48.024,81.928,2459733.643821,18.6548829,5.4431451,1495.4449473,4.3869878,27.832077,585.8091542,11.1802,169.422,5141.0,4.49143,0.876154
230127302.02,2,1,251.11587,70.429992,-48.024,81.928,2459737.587215,4.3074513,2.3379196,1094.8419495,3.2819879,196.4755358,954.8757629,11.1802,169.422,5141.0,4.49143,0.876154
232540264.01,1,1,227.867864,71.841296,-189.064,80.263,2460311.844914,15.9234883,4.021,493.0,2.18203,48.5414,735.0,8.4724,73.8713,5711.85,4.38315,1.08
232612416.01,1,1,259.023592,63.105607,-2.867,-81.029,2458687.1215,4.3601536,2.3408909,5592.2909183,6.9564258,202.0738994,961.6063113,11.1153,168.735,5227.0,4.50479,0.874131
232976128.01,1,1,200.561576,66.308533,-14.785,-46.313,2460342.349121,13.0791581,2.97,1143.0,3.25485,48.6058,735.0,10.2108,139.49,5453.0,4.41707,1.0
52368076.01,1,1,23.593425,-66.676349,-119.8,-122.953,2460206.744249,4.6517186,2.709,978.0,2.66889,540.772,1343.0,10.1985,111.059,5154.0,4.47072,0.85
52368076.02,2,1,23.593425,-66.676349,-119.8,-122.953,2460202.049893,9.1549418,2.457,1101.0,2.62011,42.2592,710.0,10.1985,111.059,5154.0,4.47072,0.85
233059608.01,1,0,269.807391,64.142644,16.484,15.481,2458683.642967,1.4415044,0.9274524,547.3172736,3.8345209,5519.1845,2198.3076824,6.895,66.3631,6603.0,4.438,1.58365
233684822.01,1,0,260.902889,64.862363,-30.786,29.555,2460658.633557,4.6756655,1.914,738.0,4.03134,230.204,1085.0,9.89947,185.23,5779.0,4.88162,1.45
237222864.01,1,1,296.24462,74.062858,18.618,28.014,2460646.544681,10.288886,1.391,854.0,2.63881,9.06856,483.0,9.1416,65.9501,5126.0,4.49772,0.87
278348461.01,1,1,303.195436,18.104778,16.395,-12.938,2459820.977365,5.4526479,3.401,7750.0,14.5502,433.78,1271.0,9.87463,249.325,6509.0,4.17233,1.57
288735205.01,1,1,282.100166,79.256476,-5.658,100.203,2459764.874089,3.4779776,2.5103489,27021.6932424,12.5541925,153.1388971,897.2038496,11.1534,118.106,4699.0,4.54638,0.765001
70440470.01,1,1,339.489275,-35.154203,-9.326,-50.142,2458326.730861,3.0354017,2.8809533,16196.2158157,14.1334903,726.7556694,1324.2404714,12.7923,573.027,5751.0,4.35036,1.07224
355867695.01,1,1,157.144071,65.854199,-177.236,-81.772,2459634.760516,3.1274634,1.9812695,1331.83693,2.5802896,103.2675998,813.0378617,10.8116,73.5977,4225.0,4.5756,0.693431
355867695.02,2,1,157.144071,65.854199,-177.236,-81.772,2458686.119718,7.4931613,1.9339295,1650.6470497,2.7733674,32.2107098,607.6028794,10.8116,73.5977,4225.0,4.5756,0.693431
